date,competition,season,stage,team,confederation,opponent,home_away,goals_for,goals_against,result,shots,shots_on_target,shots_off_target,possession_pct,corners,fouls,yellow_cards,red_cards,saves,offsides,passes,pass_accuracy_pct,xg,venue,referee,neutral,qualified_wc2026,elo_pre,opp_elo_pre,elo_win_prob,elo_post,elo_change
2022-01-05,Friendly,2022,Tournament/Friendly,Algeria,CAF,Ghana,neutral,3,0,W,,,,,,,,,,,,,,"Al Rayyan, Qatar",,True,True,1897.6,1720.1,0.7353,1906.8,9.3
2022-01-11,African Cup of Nations,2022,Tournament/Friendly,Algeria,CAF,Sierra Leone,neutral,0,0,D,,,,,,,,,,,,,,"Douala, Cameroon",,True,True,1906.8,1480.8,0.9207,1885.8,-21.0
2022-01-16,African Cup of Nations,2022,Tournament/Friendly,Algeria,CAF,Equatorial Guinea,neutral,0,1,L,,,,,,,,,,,,,,"Douala, Cameroon",,True,True,1885.8,1531.7,0.8848,1841.6,-44.2
2022-01-20,African Cup of Nations,2022,Tournament/Friendly,Algeria,CAF,Ivory Coast,neutral,1,3,L,,,,,,,,,,,,,,"Douala, Cameroon",,True,True,1841.6,1743.9,0.637,1793.8,-47.8
2022-03-25,FIFA World Cup qualification,2022,Qualification,Algeria,CAF,Cameroon,away,1,0,W,,,,,,,,,,,,,,"Douala, Cameroon",,False,True,1793.8,1726.4,0.4532,1815.7,21.9
2022-03-29,FIFA World Cup qualification,2022,Qualification,Algeria,CAF,Cameroon,home,1,2,L,,,,,,,,,,,,,,"Blida, Algeria",,False,True,1815.7,1704.5,0.7712,1784.8,-30.8
2022-06-04,African Cup of Nations qualification,2022,Qualification,Algeria,CAF,Uganda,home,2,0,W,,,,,,,,,,,,,,"Algiers, Algeria",,False,True,1784.8,1543.8,0.8769,1792.2,7.4
2022-06-08,African Cup of Nations qualification,2022,Qualification,Algeria,CAF,Tanzania,away,2,0,W,,,,,,,,,,,,,,"Dar es Salaam, Tanzania",,False,True,1792.2,1436.2,0.8136,1803.4,11.2
2022-06-12,Friendly,2022,Tournament/Friendly,Algeria,CAF,Iran,neutral,2,1,W,,,,,,,,,,,,,,"Doha, Qatar",,True,True,1803.4,1920.7,0.3373,1816.6,13.3
2022-09-23,Friendly,2022,Tournament/Friendly,Algeria,CAF,Guinea,home,1,0,W,,,,,,,,,,,,,,"Oran, Algeria",,False,True,1816.6,1509.5,0.9124,1818.4,1.8
